,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,,ASSEMBLER INST
OPP,OPP-0x58,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x58,opp a
OPP,OPP-0x59,,,x,,,,,,,,,,,,,,,x,,,,,20004,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x59,opp b
OPP,OPP-0x5A,,,,x,,,,,,,,,,,,,,,x,,,,40008,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x5A,opp c
OPP,OPP-0x5B,,,,,x,,,,,,,,,,,,,,,x,,,80010,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x5B,opp d
OPP,OPP-0x5C,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x5C,opp ~a
OPP,OPP-0x5D,,,x,,,,,,,,,,,,,,,x,,,,,20004,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x5D,opp ~b
OPP,OPP-0x5E,,,,x,,,,,,,,,,,,,,,x,,,,40008,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x5E,opp ~c
OPP,OPP-0x5F,,,,,x,,,,,,,,,,,,,,,x,,,80010,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x5F,opp ~d
OPP,OPP-0x60,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x60,opp -a
OPP,OPP-0x61,,,x,,,,,,,,,,,,,,,x,,,,,20004,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x61,opp -b
OPP,OPP-0x62,,,,x,,,,,,,,,,,,,,,x,,,,40008,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x62,opp -c
OPP,OPP-0x63,,,,,x,,,,,,,,,,,,,,,x,,,80010,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x63,opp -d
OPP,OPP-0x64,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x64,opp a+1
OPP,OPP-0x65,,,x,,,,,,,,,,,,,,,x,,,,,20004,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x65,opp b+1
OPP,OPP-0x66,,,,x,,,,,,,,,,,,,,,x,,,,40008,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x66,opp c+1
OPP,OPP-0x67,,,,,x,,,,,,,,,,,,,,,x,,,80010,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x67,opp d+1
OPP,OPP-0x68,,x,,,,,,,,,,,,,,,x,,,,,,10002,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x68,opp a-1
OPP,OPP-0x69,,,x,,,,,,,,,,,,,,,x,,,,,20004,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x69,opp b-1
OPP,OPP-0x6A,,,,x,,,,,,,,,,,,,,,x,,,,40008,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x6A,opp c-1
OPP,OPP-0x6B,,,,,x,,,,,,,,,,,,,,,x,,,80010,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x6B,opp d-1
OPP,OPP-0x6C,,x,,,,,x,,,,,,,,,,x,,,,,,10042,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x6C,opp a+b
OPP,OPP-0x6D,,x,,,,,,x,,,,,,,,,x,,,,,,10082,D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x6D,opp a+c
OPP,OPP-0x6E,,x,,,,,,,x,,,,,,,,x,,,,,,10102,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x6E,opp a+d
OPP,OPP-0x6F,,,x,,,x,,,,,,,,,,,,x,,,,,20024,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x6F,opp b+a
OPP,OPP-0x70,,,x,,,,,x,,,,,,,,,,x,,,,,20084,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x70,opp b+c
OPP,OPP-0x71,,,x,,,,,,x,,,,,,,,,x,,,,,20104,2B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x71,opp b+d
OPP,OPP-0x72,,,,x,,x,,,,,,,,,,,,,x,,,,40028,38,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x72,opp c+a
OPP,OPP-0x73,,,,x,,,x,,,,,,,,,,,,x,,,,40048,3A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x73,opp c+b
OPP,OPP-0x74,,,,x,,,,,x,,,,,,,,,,x,,,,40108,3E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x74,opp c+d
OPP,OPP-0x75,,,,,x,x,,,,,,,,,,,,,,x,,,80030,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x75,opp d+a
OPP,OPP-0x76,,,,,x,,x,,,,,,,,,,,,,x,,,80050,4D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x76,opp d+b
OPP,OPP-0x77,,,,,x,,,x,,,,,,,,,,,,x,,,80090,4F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x77,opp d+c
OPP,OPP-0x78,,x,,,,,x,,,,,,,,,,x,,,,,,10042,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x78,opp a-b
OPP,OPP-0x79,,x,,,,,,x,,,,,,,,,x,,,,,,10082,D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x79,opp a-c
OPP,OPP-0x7A,,x,,,,,,,x,,,,,,,,x,,,,,,10102,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x7A,opp a-d
OPP,OPP-0x7B,,,x,,,x,,,,,,,,,,,,x,,,,,20024,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x7B,opp b-a
OPP,OPP-0x7C,,,x,,,,,x,,,,,,,,,,x,,,,,20084,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x7C,opp b-c
OPP,OPP-0x7D,,,x,,,,,,x,,,,,,,,,x,,,,,20104,2B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x7D,opp b-d
OPP,OPP-0x7E,,,,x,,x,,,,,,,,,,,,,x,,,,40028,38,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x7E,opp c-a
OPP,OPP-0x7F,,,,x,,,x,,,,,,,,,,,,x,,,,40048,3A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x7F,opp c-b
OPP,OPP-0x80,,,,x,,,,,x,,,,,,,,,,x,,,,40108,3E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x80,opp c-d
OPP,OPP-0x81,,,,,x,x,,,,,,,,,,,,,,x,,,80030,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x81,opp d-a
OPP,OPP-0x82,,,,,x,,x,,,,,,,,,,,,,x,,,80050,4D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x82,opp d-b
OPP,OPP-0x83,,,,,x,,,x,,,,,,,,,,,,x,,,80090,4F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x83,opp d-c
OPP,OPP-0x84,,x,,,,x,,,,,,,,,,,x,,,,,,10022,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x84,opp a*a
OPP,OPP-0x85,,x,,,,,x,,,,,,,,,,x,,,,,,10042,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x85,opp a*b
OPP,OPP-0x86,,x,,,,,,x,,,,,,,,,x,,,,,,10082,D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x86,opp a*c
OPP,OPP-0x87,,x,,,,,,,x,,,,,,,,x,,,,,,10102,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x87,opp a*d
OPP,OPP-0x88,,,x,,,x,,,,,,,,,,,,x,,,,,20024,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,OPP-0x88,opp b*a
